age,height,educ,feduc,meduc,tenure,wexp,race,male,earn,totalwork
40,73,17,7,8,18,4,White,1,47.83,2300
46,77,16,8,8,8,1,White,1,78.38,1850
53,68,16,6,6,6,12,White,1,16,2000
36,71,12,3,4,7,15,White,1,23.44,3072
42,77,12,3,3,1,4,Black,1,22.69,3570
72,67,15,4,7,22,16,White,0,14.36,2000
35,67,16,4,7,2,6,Black,1,12.3,2440
46,62,13,6,6,4,12,White,0,19.11,1936
38,69,11,4,4,2,7,White,1,11.12,1799
44,69,15,6,6,1,12,White,1,18.5,2000
27,65,13,5,6,13,2,White,1,32.96,2600
40,66,10,4,4,26,5,White,1,19.53,2560
49,67,14,4,4,8,1,White,1,46.57,2040
55,67,11,4,4,12,35,White,1,25.5,2000
61,73,17,4,4,7,4,White,1,80.65,1984
46,69,12,4,4,23,25,White,1,37.23,1880
41,74,16,7,4,14,2,White,1,60.95,2133
66,75,11,3,3,12,44,White,1,16.16,2304
37,70,17,6,4,13,4,White,0,40.59,2056
47,75,13,4,4,1,1,White,1,20.32,2295
46,68,17,2,3,8,8,White,1,50.2,2450
43,69,12,7,4,4,7,White,1,32.92,2187
38,69,12,4,6,2,19,White,1,17.26,2028
31,71,16,4,6,4,1,Black,1,53.21,1992
22,70,13,7,6,1,4,White,1,15.16,2040
43,66,10,5,5,18,5,Other,1,38.46,2080
63,68,17,4,4,2,11,White,1,24.81,2018
24,67,13,6,4,1,6,White,1,10.76,2040
55,75,16,4,4,14,3,White,1,53.59,1978
56,66,12,2,3,14,3,White,1,13.34,1984
35,68,10,4,4,12,6,White,1,12.14,2142
42,68,17,6,6,11,5,White,1,40.24,1988
68,70,14,3,3,14,33,White,1,25,1800
50,75,14,6,4,28,3,White,1,44,2006
51,69,12,4,3,4,13,White,1,50.58,2052
48,70,14,4,6,18,5,White,1,53.33,2550
67,68,17,7,6,4,11,White,1,16.26,2460
31,70,14,7,5,2,6,White,1,25.9,2510
26,66,16,4,4,5,3,White,1,25.27,2295
50,71,12,4,4,3,3,White,1,42.31,2600
39,66,16,6,6,5,6,White,0,13.78,1173
38,75,16,4,7,2,4,White,1,14.12,2550
62,71,12,2,4,19,10,White,1,64.89,3159
40,73,14,5,4,14,3,White,1,114.41,2360
32,67,12,5,5,6,14,Other,1,20.05,1596
27,70,14,2,3,5,9,Other,0,23.45,2081
42,71,10,4,3,10,6,White,1,16.95,1888
29,70,15,2,4,7,2,White,1,21.22,2450
27,67,12,4,4,10,7,White,1,23.08,2600
44,69,14,4,4,14,11,Black,1,15.42,2530
38,67,12,4,4,1,5,Black,0,6.86,2040
35,63,12,4,4,4,12,Black,0,21.63,2080
40,74,17,20,11,2,6,White,1,86.76,3060
66,71,17,13,10,4,4,White,1,115.74,2160
61,74,16,5,2,28,10,White,1,51.91,1888
39,71,14,3,6,18,3,White,1,47.05,1828
59,65,12,4,3,13,6,White,1,22.24,2496
31,71,15,4,4,10,9,Other,1,20,2400
42,75,13,4,6,10,7,White,1,31.49,2064
26,71,13,4,4,1,5,White,1,19.23,2600
45,66,14,4,4,17,28,White,0,44.17,1440
32,71,17,7,8,7,10,White,1,35.51,2112
53,61,13,6,5,2,3,White,0,29.86,2110
57,74,17,16,16,30,1,White,1,120.83,2400
24,73,16,8,8,2,2,White,1,32.86,2952
46,73,17,8,6,13,2,White,1,62.22,2250
39,74,17,8,8,6,1,White,1,123.58,2290
42,66,16,8,7,4,14,White,1,28.85,3120
39,74,16,8,0,9,13,Other,1,121.46,2470
47,66,10,7,4,5,6,White,1,17.64,2112
66,75,12,4,4,6,12,White,1,10.43,1986
31,71,14,4,4,10,5,White,1,37.03,3727
44,73,14,9,4,18,2,White,1,32.94,2550
44,69,13,2,4,15,5,White,0,34.5,1566
41,71,14,1,7,18,8,White,1,30.77,2340
46,73,14,7,5,17,2,White,1,33.18,1974
30,74,12,4,4,12,9,White,1,8,2500
29,70,16,6,8,4,3,White,1,19.78,2235
30,75,16,8,8,1,7,White,1,43.67,2450
29,65,17,6,7,3,3,White,0,31.25,2080
29,68,16,4,7,3,4,White,1,65.33,1592
27,62,16,7,7,1,1,White,0,39.87,2132
25,68,16,7,7,3,1,White,1,27.45,2550
63,71,15,4,4,6,11,White,1,51.1,2642
63,74,12,5,6,1,7,White,1,32,2500
60,76,16,4,4,1,5,Other,1,115.12,1720
47,74,16,7,7,23,8,White,1,50.95,2159
36,70,17,7,5,4,12,White,1,62.76,2390
33,71,17,7,6,3,6,White,1,44,2500
35,73,15,6,4,18,9,White,1,26.43,2346
69,71,17,4,4,34,16,White,1,43.86,2417
66,65,17,4,4,1,10,White,0,24.42,1720
27,64,13,7,7,1,2,White,0,15.79,1520
61,73,12,3,4,4,32,White,1,18.63,2040
55,73,16,12,4,2,28,White,1,31.73,1078
21,68,13,4,4,2,3,Black,1,9.6,2500
46,77,17,6,5,28,7,White,1,30.99,2162
24,71,14,4,7,2,1,Black,1,25.92,2083
42,76,17,8,8,1,16,White,1,45.86,2704
66,71,16,8,8,20,10,White,1,55.61,1960
73,70,17,8,8,46,12,White,1,7.22,1386
35,71,17,8,8,4,1,White,1,62.93,2940
32,71,17,4,4,4,5,White,1,33.6,2976
43,69,12,6,5,16,1,White,1,26.72,2058
36,67,17,8,8,13,5,White,1,34.49,2050
33,77,17,8,7,9,1,White,1,29.97,1952
19,63,12,4,4,1,1,White,0,11.54,1170
30,62,12,4,4,13,4,White,0,8.25,1300
41,71,12,3,4,7,22,White,1,15.73,2860
29,63,12,4,4,1,3,White,0,15.87,2520
27,68,13,4,4,1,9,White,1,19.87,3120
56,76,12,7,5,17,20,White,1,36.37,2832
54,71,16,4,4,32,3,White,1,57.67,1760
52,73,12,4,4,34,6,White,1,24.04,3120
31,70,12,4,4,16,14,White,1,15.84,2209
31,70,13,8,6,4,2,White,1,16.01,2323
44,67,14,4,3,8,3,White,1,21.01,2142
41,76,14,6,6,2,3,White,1,16.8,2322
41,70,14,6,6,5,3,White,1,36.73,2450
20,64,12,7,7,2,2,White,0,16.44,2080
30,70,14,4,4,4,5,White,1,16.35,2080
54,69,12,4,4,26,16,White,1,24.03,2164
37,62,14,6,4,1,5,White,0,7.14,1680
56,70,12,4,4,36,8,White,1,12.81,2107
35,76,16,4,4,3,3,White,1,42.4,3012
28,70,16,6,7,2,3,White,1,20.5,2805
63,69,13,5,4,1,6,White,1,34.4,1800
42,73,9,2,4,5,2,White,1,30.85,1864
40,69,17,6,4,2,7,White,1,73.53,2040
63,68,14,2,2,15,9,Other,1,38.9,1928
38,74,14,2,8,9,14,White,1,36.84,1900
58,75,14,6,6,3,38,Other,1,15.63,2880
45,74,12,4,4,1,1,White,1,15.45,2783
30,74,16,7,7,5,1,White,1,29.41,2550
34,73,16,7,7,1,4,White,1,40.82,1960
28,76,12,4,4,7,6,Black,1,17.75,2254
43,71,16,4,6,17,3,White,1,17.9,3044
44,67,14,8,7,4,1,White,1,27.01,2016
30,63,8,2,3,4,4,Other,0,16.83,2080
55,66,12,3,4,38,3,White,1,27.27,2200
52,65,12,3,4,10,25,White,0,33.65,2080
44,71,14,4,4,12,1,White,1,28.81,2048
42,69,17,3,4,19,19,White,1,40,2550
47,74,10,2,7,21,12,White,1,8.93,3120
59,71,15,8,4,8,6,White,1,40,2000
59,68,15,8,5,26,5,White,1,140,1000
34,68,16,4,4,1,7,White,1,34.55,2460
25,69,16,8,4,3,3,White,0,50.67,2625
60,73,12,3,3,6,7,White,1,40.7,2359
54,75,17,8,4,25,15,White,1,127.31,2160
60,70,12,4,4,2,38,Other,0,12.5,2080
64,70,12,4,4,6,13,White,1,19.71,2080
30,71,17,6,6,2,4,White,1,34.53,2114
31,70,12,4,7,24,9,White,1,6.67,3120
32,71,17,4,4,2,2,White,1,30.24,1984
32,61,10,5,3,6,3,White,0,14.95,2288
55,70,16,4,4,9,11,White,1,47.87,1880
52,71,16,6,5,19,16,White,1,56.35,1952
70,68,17,8,2,5,18,White,1,40.72,1768
59,70,17,4,4,7,3,White,1,57.71,2400
63,62,14,3,4,25,26,White,0,25.07,1968
58,68,12,4,4,2,15,White,1,46.37,2040
40,71,16,4,6,10,1,White,1,31.97,2502
59,74,17,8,6,1,27,White,1,12.18,1560
28,70,12,6,4,6,3,White,1,32.05,3120
36,68,16,4,3,4,6,White,1,31.86,2040
26,62,12,4,4,1,2,White,0,15,2000
24,69,14,4,4,1,6,White,1,15.75,2540
42,71,12,6,4,2,6,White,1,12.4,2500
48,63,12,4,6,7,16,White,1,9.92,1109
29,68,12,4,4,11,5,White,1,31.51,2856
32,71,12,4,4,3,10,White,1,28.85,2704
58,66,12,5,7,29,35,White,1,36.47,3016
31,67,17,6,6,11,1,White,1,21.59,1992
44,64,17,20,12,19,24,Other,1,45,2000
47,70,14,4,3,2,27,White,1,13.67,3000
36,69,16,7,8,4,1,White,0,19.12,1888
29,70,16,4,4,1,1,White,1,29.27,2460
42,64,12,7,4,3,14,White,0,16.4,2550
22,70,12,4,4,3,4,White,1,18.99,3528
26,69,13,4,6,5,1,White,1,34.94,2032
65,70,12,2,4,10,24,Black,1,25.82,2750
64,70,16,4,4,4,10,White,1,76.35,2156
39,70,14,3,7,16,12,White,1,29.33,2080
36,63,11,4,6,2,10,White,0,8.52,1760
25,70,12,4,4,1,2,White,1,23.39,2394
58,64,17,4,4,32,19,White,0,30.98,2392
67,63,12,5,3,17,10,White,0,24.82,1680
43,74,14,7,4,7,10,White,1,19.98,2277
35,66,15,4,6,3,13,White,1,67.11,1788
40,69,17,4,4,15,13,White,1,50.2,4980
30,73,16,4,4,6,1,White,1,15.84,1768
56,70,16,3,4,23,5,White,1,47.13,2419
47,71,12,4,4,12,2,White,1,35.12,1936
24,76,13,7,6,3,1,White,1,20.29,2440
24,67,13,7,4,2,3,White,0,16.1,2000
62,66,10,16,14,31,10,White,1,32.02,1936
35,68,16,6,6,5,4,White,0,15.36,1907
31,68,15,6,6,6,12,Other,1,18.79,2009
62,71,13,7,7,35,9,White,1,110.4,2500
39,66,17,8,16,9,5,White,0,76.83,1640
34,71,16,8,22,2,2,White,1,50.96,1982
56,66,16,7,4,24,22,White,0,48.71,1786
55,68,16,4,4,16,1,White,1,57.17,2169
31,76,16,6,4,4,2,White,1,22.63,1944
42,69,17,6,6,1,13,White,1,35.68,2169
62,74,13,4,4,13,10,White,1,33.33,2190
53,61,17,3,4,18,20,White,0,20.21,2070
32,68,11,4,4,4,9,White,1,12.02,2080
37,67,12,4,4,15,15,White,1,14.49,2761
35,76,12,4,4,1,10,White,1,21.92,2600
58,68,17,4,4,9,6,White,1,63.64,2200
59,67,17,8,8,32,22,White,0,27.76,1801
58,71,17,8,8,4,8,White,1,11.81,1380
49,70,15,8,8,6,6,White,1,19.37,1808
41,62,16,7,7,6,1,White,1,27.89,2008
32,74,15,7,6,5,3,White,1,69.52,1870
43,71,17,4,4,14,11,White,1,32.11,2772
51,61,15,8,6,20,3,White,0,30.77,2600
29,63,16,4,6,8,2,Other,1,24.89,2250
44,70,14,4,4,1,6,White,1,34.99,2429
57,71,13,4,4,26,5,White,1,35.56,1912
40,73,13,7,7,21,16,White,1,24.7,2080
40,76,17,4,4,3,6,White,1,29.48,2205
67,66,16,2,4,37,13,White,1,19.46,2056
29,68,17,8,8,6,1,White,1,26.67,3000
28,64,16,8,8,3,3,White,0,16.07,2924
27,68,16,8,8,5,1,White,1,55.66,2695
63,69,16,7,4,10,6,White,1,52.76,2009
37,69,14,7,7,19,5,White,1,27.6,2174
35,71,17,7,7,4,3,White,1,33.2,2205
32,70,14,7,7,2,4,White,1,8.36,3626
34,66,16,4,4,6,5,White,0,16.46,1944
37,75,16,7,7,12,8,White,1,18.6,1936
40,74,16,8,8,8,2,White,1,81.52,1840
49,65,12,4,3,4,9,White,0,12.5,1040
21,67,12,4,7,4,1,White,0,5.13,2340
50,65,16,2,4,3,14,White,0,54.73,2695
58,70,14,4,4,9,2,White,1,19,1446
34,71,14,3,4,10,10,White,1,26.89,2752
32,64,16,5,5,7,13,White,1,29.76,2016
59,74,12,4,3,9,7,White,1,17.09,2340
45,76,12,4,3,7,2,White,1,29.46,3360
22,78,14,4,7,1,2,White,1,8.33,2040
50,66,12,4,4,5,32,Other,0,21.32,2205
36,70,17,6,6,12,3,White,1,79.68,2008
38,74,16,5,4,8,21,White,1,199.39,1304
52,65,14,6,7,21,6,White,0,18.37,1960
27,69,16,4,6,5,1,White,1,11.73,1960
25,71,15,4,6,5,2,White,1,10.41,1537
49,70,14,4,6,6,4,White,1,37.8,1984
