Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,6.482032,6.489077,6.432712,6.446803,5.948547,1181573
2019-09-19,6.446803,6.474986,6.411575,6.411575,5.916041,798360
2019-09-20,6.446803,6.510214,6.418620,6.510214,6.007057,2287640
2019-09-23,6.503169,6.503169,6.397483,6.418620,5.922542,780051
2019-09-24,6.460895,6.496123,6.432712,6.496123,5.994055,1401566
2019-09-25,6.482032,6.489077,6.439757,6.474986,5.974552,1203147
2019-09-26,6.460895,6.482032,6.446803,6.453849,5.955048,939014
2019-09-27,6.446803,6.453849,6.411575,6.446803,5.948547,988548
2019-09-30,6.418620,6.489077,6.418620,6.439757,5.942045,1170077
2019-10-01,6.474986,6.517260,6.460895,6.510214,6.007057,1471538
2019-10-02,6.425666,6.474986,6.355209,6.397483,5.903039,1526465
2019-10-03,6.327026,6.390438,6.327026,6.355209,5.864032,986560
2019-10-04,6.355209,6.397483,6.319981,6.348164,5.857531,1209108
2019-10-07,6.348164,6.390438,6.341118,6.369301,5.877035,905802
2019-10-08,6.390438,6.418620,6.369301,6.383392,5.890037,633153
2019-10-09,6.404529,6.418620,6.355209,6.355209,5.864032,1014237
2019-10-10,6.341118,6.383392,6.341118,6.348164,5.857531,696170
2019-10-11,6.383392,6.390438,6.362255,6.383392,5.890037,948949
2019-10-14,6.404529,6.418620,6.390438,6.404529,5.909540,586741
2019-10-15,6.404529,6.432712,6.376346,6.383392,5.890037,932059
2019-10-16,6.432712,6.474986,6.411575,6.453849,5.955048,1257506
2019-10-17,6.397483,6.460895,6.397483,6.460895,5.961550,1036378
2019-10-18,6.432712,6.446803,6.369301,6.369301,5.877035,1382264
2019-10-21,6.376346,6.425666,6.376346,6.411575,5.916041,929788
2019-10-22,6.418620,6.439757,6.397483,6.418620,5.922542,948949
2019-10-23,6.418620,6.425666,6.369301,6.425666,5.929043,877274
2019-10-24,6.432712,6.432712,6.369301,6.376346,5.883535,2107956
2019-10-25,6.376346,6.432712,6.376346,6.432712,5.935545,795805
2019-10-29,6.467940,6.517260,6.460895,6.482032,5.981053,2124136
2019-10-30,6.446803,6.517260,6.446803,6.510214,6.007057,1682731
2019-10-31,6.517260,6.644082,6.517260,6.629991,6.117577,4202003
2019-11-01,6.615900,6.665219,6.601808,6.629991,6.117577,1439462
2019-11-04,6.644082,6.686357,6.629991,6.672265,6.156584,1535691
2019-11-05,6.608854,6.672265,6.608854,6.644082,6.130579,1658291
2019-11-06,6.644082,6.644082,6.460895,6.467940,5.968050,4848781
2019-11-07,6.474986,6.545443,6.467940,6.517260,6.013558,2281395
2019-11-08,6.517260,6.587717,6.496123,6.566580,6.059066,1565638
2019-11-11,6.517260,6.552488,6.489077,6.510214,6.007057,1255235
2019-11-12,6.552488,6.552488,6.510214,6.524306,6.020060,1061500
2019-11-13,6.517260,6.538397,6.453849,6.510214,6.007057,1766470
2019-11-14,6.446803,6.531351,6.446803,6.489077,6.039846,1421011
2019-11-15,6.538397,6.538397,6.467940,6.510214,6.059520,822063
2019-11-18,6.489077,6.510214,6.446803,6.510214,6.059520,889906
2019-11-19,6.467940,6.489077,6.439757,6.446803,6.000499,1472248
2019-11-20,6.446803,6.460895,6.418620,6.439757,5.993940,948949
2019-11-21,6.397483,6.439757,6.369301,6.390438,5.948036,1537678
